name,link,class
1980 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-all-filipino-conference.html,boxscore
1980 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-open-conference.html,boxscore
1999 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-governors-cup.html,boxscore
1999 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-commissioners-cup.html,boxscore
1999 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-all-filipino-cup.html,boxscore
1998 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-season-records.html,boxscore
1998 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-governors-cup_13.html,boxscore
1998 PBA Centennial Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-centennial-governors-cup.html,boxscore
1998 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-commissioners-cup_5.html,boxscore
1998 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-all-filipino-cup_2.html,boxscore
1997 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-season-records.html,boxscore
1997 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-governors-cup.html,boxscore
1997 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-commissioners-cup.html,boxscore
1997 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-all-filipino-cup.html,boxscore
1996 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-finals-results.html,boxscore
1996 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-governors-cup.html,boxscore
1996 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-commissioners-cup.html,boxscore
1996 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-all-filipino-cup.html,boxscore
1995 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-finals-results.html,boxscore
1995 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-governors-cup.html,boxscore
1995 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-commissioners-cup.html,boxscore
1995 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-all-filipino-cup.html,boxscore
1994 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-all-filipino-1st-cup-best-of.html,boxscore
1994 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-governors-cup.html,boxscore
1994 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-commissioners-cup.html,boxscore
1994 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-all-filipino-cup.html,boxscore
1993 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-finals-results.html,boxscore
1993 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-governors-cup.html,boxscore
1993 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-commissioners-cup.html,boxscore
1993 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-all-filipino-conference.html,boxscore
1992 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-finals-results.html,boxscore
1992 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-reinforced-conference.html,boxscore
1992 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-all-filipino-conference.html,boxscore
1992 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-open-conference.html,boxscore
1991 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-finals-results.html,boxscore
1991 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-reinforced-conference.html,boxscore
1991 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-all-filipino-conference.html,boxscore
1991 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-open-conference.html,boxscore
1990 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/01/1990-pba-finals-results.html,boxscore
