name,link,class
1994 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-commissioners-cup.html,boxscore
1994 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-governors-cup.html,boxscore
1994 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-all-filipino-1st-cup-best-of.html,boxscore
1995 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-all-filipino-cup.html,boxscore
1995 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-commissioners-cup.html,boxscore
1995 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-governors-cup.html,boxscore
1995 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-finals-results.html,boxscore
1996 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-all-filipino-cup.html,boxscore
1996 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-commissioners-cup.html,boxscore
1996 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-governors-cup.html,boxscore
1996 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-finals-results.html,boxscore
1997 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-all-filipino-cup.html,boxscore
1997 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-commissioners-cup.html,boxscore
1997 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-governors-cup.html,boxscore
1997 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-season-records.html,boxscore
1998 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-all-filipino-cup_2.html,boxscore
1998 PBA Centennial Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-centennial-governors-cup.html,boxscore
1998 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-commissioners-cup_5.html,boxscore
1998 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-governors-cup_13.html,boxscore
1998 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-season-records.html,boxscore
1999 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-all-filipino-cup.html,boxscore
1999 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-commissioners-cup.html,boxscore
1999 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-governors-cup.html,boxscore
